Brand name	Markenname
Fragrance-free.	unparfümiert
Does not contain peat.	Enthält keinen Torf.
Lithium-ion batteries do not contain mercury, cadmium or lead.	Lithium-Ionen-Akkus enthalten kein Quecksilber, Kadmium oder Blei.
More than 50% (weight) of this product is made from recycled glass.	Mehr als 50% (Gewicht) dieses Produkts besteht aus recyceltem Glas.
At least 50% (weight) of this product is made from renewable materials.	Mind. 50% (Gewicht) dieses Produkts besteht aus nachwachsenden Rohstoffen.
At least 50% (weight) of this product is made from bamboo, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Bambus, einem nachwachsenden Rohstoff.
More than 30% (weight) of the wooden fibres comes from recycled material.	Mehr als 30% (Gewicht) dieser Holzfasern stammt aus recyceltem Material.
More than 30% (weight) of the stainless steel content of this product is made from recycled stainless steel.	Mehr als 30% (Gewicht) des Metalls in diesem Produkt enthält recyceltes Edelstahlmaterial.
No peat used.	Ohne Verwendung von Torf.
At least 50% (weight) of this product is made from a cellulose-base material derived from wood.	Mind. 50% (Gewicht) dieses Produkts besteht aus einem Rohstoff aus holz-basierter Zellulose.
At least 50% (weight) of this product is made from cellulose and cotton fibre, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Zellulose und Baumwollfasern, nachwachsenden Rohstoffen.
More than 30% (weight) of the textile fibres comes from recycled materials.	Mehr als 30% (Gewicht) dieser Textilfasern stammt aus recyceltem Material.
At least 50% (weight) of this product is made from seagrass, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Seegras, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from flax, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Flachs, einem nachwachsenden Rohstoff.
More than 50% (weight) of the plastic content of this product is made from recycled plastic.	Mehr als 50% (Gewicht) des Kunststoffs in diesem Produkt besteht aus recyceltem Kunststoffmaterial.
At least 50% (weight) renewable cellulose-based material, viscose/rayon.	Besteht zu mind. 50% (Gewicht) aus erneuerbarem Material auf Zellulosebasis (Viskose).
To lower our environmental impact this product is offered without any packaging.	Zur Schonung der Umwelt wird dieses Produkt ohne Verpackung verkauft.
More than 30% (weight) of the metal content of this product is made from recycled steel.	Mehr als 30% (Gewicht) des Metalls in diesem Produkt enthält recycelten Stahl.
More than 30% (weight) of the aluminium content of this product is made from recycled aluminium.	Mehr als 30% (Gewicht) dieses Metalls enthält recyceltes Aluminiummaterial.
At least 50% (weight) of this product is made from cotton, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Baumwolle, einem nachwachsenden Rohstoff.
Made from PEVA, a chlorine-free plastic.	Aus PEVA (PEVA Polyethylen-Vinylacetat), einem chlorfreiem Kunststoff hergestellt.
At least 50% (weight) of this product is made from chips, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Spänen, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from coir fibres, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Kokosfasern, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from cork, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Kork, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from palm leaf, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Palmblättern, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from rattan, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Rattan, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from ramie fibre, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Ramiefasern, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from wood fibre, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Holzfasern, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from wood, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Holz, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made from wool, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Wolle, einem nachwachsenden Rohstoff.
Possible to separate for recycling or energy recovery if available in your community.	Trennbar zum Recycling oder zur Energiegewinnung.
The polyester filling is made of recycled plastic.	Die Polyesterfüllung besteht aus recyceltem Kunststoff.
Contains 100% palm oil certified by RSPO.	Enthält 100% Palmöl, RSPO-zertifiziert (RSPO: Roundtable on Sustainable Palm Oil).
Contains more than 50% (weight) palm oil certified by RSPO.	Enthält mehr als 50% (Gewicht) Palmöl, RSPO-zertifiziert (RSPO: Roundtable on Sustainable Palm Oil).
Renewable material (paper).	Erneuerbares Material (Papier).
Product is possible to recycle or use for energy recovery, if available in your community.	Das Produkt kann dem Recycling oder der Energiegewinnung zugeführt werden.
Possible to recycle the plastic parts, if available in your community.	Trennbar zum Recycling oder zur Energiegewinnung.
Made from recycled material.	Aus recyceltem Material.
Lead-free mirrors – No lead added in manufacturing of our mirrors.	Bei der Herstellung unserer Spiegel wird kein Blei eingesetzt.
This lamp shade folds flat, so it takes less space in transport.	Faltbarer Schirm; spart Platz beim Transport.
At least 80% (weight) of this product is made of paper, a renewable material.	Besteht zu mind. 80% (Gewicht) aus erneuerbarem Material (Papier).
At least 50% (weight) of this product is made of paper, a renewable material.	Besteht zu mind. 50% (Gewicht) aus erneuerbarem Material (Papier).
At least 80% (weight) of this product is made of wood, a renewable material.	Mind. 80% (Gewicht) dieses Produkts besteht aus Holz, einem nachwachsenden Rohstoff.
At least 50% (weight) of this product is made of wood, a renewable material.	Mind. 50% (Gewicht) dieses Produkts besteht aus Holz, einem nachwachsenden Rohstoff.
Embossed pattern instead of print, means that no chemicals are used for printing the pattern, which lowers the environmental impact.	Ein geprägtes statt eines gedruckten Musters bedeutet, dass keine Chemikalien verwendet werden. Dies trägt zur Schonung der Umwelt bei.
BRODER rebus 4 bg	BRODER REBUS 4 Kaufhilfe
Start by fastening the suspension rail to the wall.	Zuerst die Aufhängeschiene an der Wand befestigen.
Then hook on the wall uprights and attach the brackets.	Danach werden die Wandschienen eingehängt und die Konsolen angebracht.
By putting on the shelves and attaching them to the brackets you can easily measure where to fasten the next wall upright.	Der Abstand zur nächsten Wandschiene ergibt sich durch das Montieren der Regalböden.
How to assemble a combination with wall uprights	Kombination mit Wandschienen montieren
INTEGRAL door damper for hinge	INTEGRAL Türdämpfer für Scharniere
Silence with a little click	Ruhe auf den ersten Klick
KAFFE HELA BÖNOR MÖRKROST (coffee whole beans, dark roast) is a traditional blend of selected beans from the Brazilian highlands, the mountain regions of Latin America, and the lush South-East Asia.	MÖRKROST KAFFE HELA BÖNOR (Kaffeebohnen, dunkle Röstung) ist eine traditionelle Mischung ausgesuchter Bohnen aus dem brasilianischen Hochland, der Bergregion Lateinamerikas und dem fruchtbaren Südostasien.
The dark roast brings about the finest elements of taste and aroma.	Die dunkle Röstung hebt den feinen Geschmack und das Aroma hervor.
This particular blend is characterized by its fruity body and long, distinct aftertaste.	Charakteristisch ist der ausgeprägt fruchtige, langanhaltende Genuss.
The coffee is UTZ Certified, assuring that it has been grown and produced under socially and environmentally responsible conditions.	Der Kaffee ist UTZ-zertifiziert – das garantiert, dass er verantwortungsvoll angebaut und produziert wird.
A long, distinct aftertaste	Anhaltender Genuss
STIBY summary	STIBY Zusammenfassung
Total freedom of choice	Wahlfreiheit
Flexible, stable and easy to assemble.	Flexibles System, stabil und einfach aufzubauen.
That's a good description of the airy storage system, STIBY.	So kann man das luftige Aufbewahrungssystem STIBY charakterisieren.
The combination of open shelves, spacious drawers and protective sliding doors allows you to either show or conceal your things to suit your needs.	Durch die Kombination von Regalen, geräumigen Schubladen und schützenden Schiebetüren kann man seine Siebensachen nach Wunsch präsentieren oder verbergen.
And thanks to the unique construction you get a stable storage solution without visible screws.	Die geschickte Konstruktion ermöglicht stabile Aufbewahrungslösungen ohne sichtbare Schrauben.
The back is reinforced so that you can hang up your large flat screen TV without problems.	Am verstärkten Rückpaneel lässt sich problemlos der Flachbildfernseher anbringen.
VEJMON coffee tables/side tables	VEJMON Couchtische/Beistelltische
Durable veneer on the top and shelf	Furnierte Platten - pflegeleicht und ansehnlich
Wooden flooring,arg	Holzfußböden, Argumentschild
Atmosphere with no fuss!	Holzfußböden
CYLINDER vase, set of 3	CYLINDER Vase, 3er-Set
BÄCKBY summary	BÄCKBY Zusammenfassung
Timeless tradition, modern function	Zeitloser Stil, moderne Funktion
STOCKHOLM sofas	STOCKHOLM Sofas
A lot of sofa for your money	Für Preisbewusste mit hohen Ansprüchen.
LIATORP summary	LIATORP Zusammenfassung
Tradition meets technology!	Tradition trifft auf Technologie
SNAPS general	SNAPS allgemein
Heightens the food experience	Genussabrundung
EKTORP general info2	EKTORP Allgemeine Information 2
Your choice - free choice!	Freie Wahl. Immer wieder.
KANELSNÄCKA	GIFFLAR KANEL
KANELSNÄCKA (cinnamon roll) is typically Swedish to say the least.	KANELSNÄCKA (Zimtschnecke) ist typisch schwedisch.
The small wheat bun with its creamy cinnamon filling is just the perfect little treat for all moments of earthly delight - whether on the beach, the picnic, the school trip or the coffee break.	Das kleine Weizengebäck mit kremiger Zimtfüllung eignet sich bestens als leckere Zwischenmahlzeit, beim Picknick, Schulausflug oder in der Kaffeepause.
They are just as popular with young and old alike, and go nicely together with pretty much any drink - coffee, tea, syrup, soda or milk.	Sie ist bei Jung und Alt gleichermaßen beliebt und passt zu jeder Art von Getränk – Kaffee, Tee, Saft, Limonade oder Milch.
Can you resist them?	Kann man da widerstehen?
MIDSUMMER 4	MITTSOMMER 4
’Midsommar’ (midsummer) is celebrated in many parts of the world as the longest day of the year.	'Midsommar' (Mittsommer), der längste Tag im Jahr, wird in vielen Ländern der Welt gefeiert.
In the northern parts of Sweden, the sun actually never sets and there is daylight both night and day.	In Nordschweden geht die Sonne im Sommer eigentlich nie unter.
If you are a girl, here is what to do on Midsummer Eve according to Swedish folklore.	Es ist Tag und Nacht hell.
Pick seven kinds of flowers from a fork in the road, climb over nine stone walls, then go to sleep with the flowers under your pillow.	Nach altem Volksglauben sollten Mädchen in der Mittsommernacht folgendes tun: an einer Weggabelung 7 verschiedene Blumen pflücken, über 9 Steinmauern klettern - nicht dabei sprechen und schlafengehen.
Then you will dream about your husband to-be.	Dann erscheint der Zukünftige im Traum.
It is worth trying!	Einen Versuch ist das wert!
Dream of your husband to-be	Träume vom Zukünftigen ...
SKYDD wood treatment oil	SKYDD
SKYDD wood treatment oil is just what a chopping board of untreated wood needs.	Das Holzöl SKYDD ist genau das, was Schneidebretter aus unbehandeltem Holz brauchen.
The oil makes it more resistant to moisture and stains, which prolongs its life.	Durch Öl wird das Holz widerstandsfähiger gegen Flecken und Feuchtigkeit, die Lebensdauer steigt.
Our wood treatment oil is non-toxic, leaves no odour and will not taint utensils or food.	Unser Holzöl ist ungiftig, geschmacks- und geruchsneutral.
No such thing as too much oil	Öl kann nie zuviel sein.
NUTID HIN3T induction hob	NUTID HIN3T Induktionskochfeld
A row of heat	Kochfelder nebeneinander
GOTTGÖRA lantern	GOTTGÖRA Laternen
”With GOTTGÖRA we wanted to create a richly decorated lantern with a strong character.	"Mit GOTTGÖRA wollten wir reich verzierte Laternen mit starkem Ausdruck gestalten - eine kleinere für Teelichter und eine größere für Blockkerzen.
We found inspiration in old, ornate iron gates, which in our imagination became gateways to secret gardens with lush greenery and mysterious wildlife.	Die Inspiration kam von den verschnörkelten schmiedeeisernen Toren, wie man sie früher kannte.
We’re particularly pleased with the pattern, which is very romantic yet still contains playful details like small birds and butterflies.	In unserer Fantasie verwandelten sie sich in Pforten zu verwunschenen Gärten mit prunkendem Grün und geheimnisvollem Tierleben.
All this makes GOTTGÖRA a beautiful decoration that suits all types of homes.	Wir sind richtig zufrieden mit dem romantischen Muster und den verspielten Details wie Vögel und Schmetterlinge.
And it comes in two sizes and colours, so you can combine several.”	So wurde GOTTGÖRA ein Schmuckstück, das zu vielen Einrichtungsstilen passt."
Designers Johanna Asshoff and Hanna Brogård	Designerinnen Johanna Asshoff und Hanna Brogård
HEMNES bathroom	HEMNES Badezimmer
HEMNES bathroom furniture	HEMNES Badezimmermöbel
GLÄNSA pendant lamp	GLÄNSA Hängeleuchte
Three cheers for the light	Licht, Licht - hurra!
GLÄNSA pendant lamp has now been fitted with LEDs.	Die GLÄNSA Hängeleuchte ist jetzt mit Leuchtdioden ausgestattet.
LEDs are a new type of low-energy light source that last much longer than other light sources.	Sie halten erheblich länger als herkömmliche Leuchtmittel und belasten dadurch die Umwelt weniger.
That means that you can reduce your environmental footprint - and enjoy GLÄNSA with a clear conscience for many years.	So kannst du dich viele Jahre mit gutem Gewissen an GLÄNSA freuen.
